City,lat,lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
371,Sitka,57.05,-135.33,57.2,76,90,5.82,US,1600898617
372,Alofi,-19.06,-169.92,77.0,78,75,8.05,NU,1600898791
373,Starachowice,51.04,21.07,62.01,1,26,4.16,PL,1600898791
374,Tubualá,9.52,-79.03,84.2,74,40,8.05,PA,1600898791
375,Rensvik,63.1,7.82,44.6,87,95,12.75,NO,1600898792
376,Rawlins,41.79,-107.24,75.2,14,1,23.04,US,1600898792
377,Carnot,4.94,15.87,68.22,94,86,2.62,CF,1600898792
378,Evensk,61.95,159.23,42.53,62,100,8.66,RU,1600898792
379,Preston,53.77,-2.72,50.0,87,40,6.93,GB,1600898793
380,Jalu,29.03,21.55,80.37,34,0,9.6,LY,1600898793
381,Inhambane,-23.86,35.38,65.32,76,0,8.39,MZ,1600898793
382,Bhairab Bāzār,24.07,90.97,80.6,88,75,11.41,BD,1600898793
383,Bereda,43.27,-7.54,60.01,90,100,5.01,ES,1600898794
384,Nicoya,10.15,-85.45,78.8,88,75,3.36,CR,1600898794
385,Gumdag,39.21,54.59,65.21,26,0,16.89,TM,1600898794
386,Masallātah,32.62,14.0,83.25,45,32,4.43,LY,1600898794
387,Samarai,-10.62,150.67,78.49,86,84,14.16,PG,1600898794
388,Venezuela,8.0,-66.0,88.25,64,98,7.07,VE,1600898548
389,Brooks,50.58,-111.89,73.99,34,59,5.01,CA,1600898795
390,Pangnirtung,66.15,-65.71,39.2,41,90,16.11,CA,1600898795
391,Barra Patuca,15.8,-84.28,85.75,63,13,7.81,HN,1600898795
392,Adrar,20.5,-10.07,97.9,18,72,13.62,MR,1600898795
393,Iguape,-24.71,-47.56,67.46,87,91,7.4,BR,1600898795
394,Champerico,14.3,-91.92,89.6,70,40,9.17,GT,1600898796
395,Pine Bluff,34.23,-92.0,62.6,93,90,8.05,US,1600898796
396,Skjervøy,70.03,20.97,47.61,68,77,28.66,NO,1600898796
397,Madingou,-4.15,13.55,78.1,69,15,6.69,CG,1600898796
398,Gilgit,35.92,74.31,69.17,25,45,1.95,PK,1600898796
399,Touros,-5.2,-35.46,77.0,78,20,12.75,BR,1600898797
400,Flinders,-34.58,150.86,59.0,59,0,7.0,AU,1600898797
401,Wanlaweyn,2.62,44.89,77.4,77,43,16.33,SO,1600898797
402,Uusikaupunki,60.8,21.41,57.2,93,75,6.93,FI,1600898797
403,Mildura,-34.2,142.15,46.99,100,5,5.82,AU,1600898745
404,Bānda,25.48,80.33,78.24,95,100,7.78,IN,1600898798
405,Yulara,-25.24,130.99,51.8,34,0,6.93,AU,1600898798
406,Tual,-5.67,132.75,79.95,83,20,13.44,ID,1600898798
407,Umluj,25.02,37.27,86.04,60,0,6.85,SA,1600898798
408,Yurla,59.33,54.32,38.16,95,7,7.34,RU,1600898798
409,Mátranovák,48.04,19.98,61.0,92,71,1.68,HU,1600898799
410,Babstovo,48.12,132.48,51.71,94,89,4.47,RU,1600898799
411,Laguna,38.42,-121.42,91.99,22,1,8.05,US,1600898788
412,Mazagão,-0.12,-51.29,87.8,66,10,11.41,BR,1600898799
413,Kirkwood,38.58,-90.41,77.0,56,75,3.36,US,1600898799
414,Arlit,18.74,7.39,94.32,15,0,14.45,NE,1600898799
415,Aswān,24.09,32.91,88.83,29,0,14.58,EG,1600898800
416,Dehlorān,32.69,47.27,88.48,13,0,7.81,IR,1600898563
417,Cortes,41.94,-1.44,71.6,64,51,5.82,ES,1600898800
418,Koutsouras,35.03,25.95,77.0,56,0,4.0,GR,1600898800
419,Santa Marta,11.24,-74.2,91.4,70,75,5.82,CO,1600898800
420,Bambanglipuro,-7.95,110.28,77.23,86,99,6.6,ID,1600898801
421,Prince Rupert,54.32,-130.32,57.2,76,90,10.29,CA,1600898801
422,Vangaindrano,-23.35,47.6,64.09,83,66,4.81,MG,1600898801
423,Teya,60.38,92.63,44.83,89,100,5.82,RU,1600898801
424,Talcahuano,-36.72,-73.12,62.6,63,34,13.87,CL,1600898802
425,Hofn,64.25,-15.21,39.22,71,37,15.99,IS,1600898802
426,Urusha,54.05,122.9,45.55,96,100,7.18,RU,1600898802
427,Nizhnevartovsk,60.93,76.55,39.2,93,20,8.95,RU,1600898802
428,Timrå,62.49,17.33,53.01,71,100,9.17,SE,1600898803
429,Sørland,67.67,12.69,42.8,75,75,23.04,NO,1600898803
430,Udachny,66.42,112.4,41.0,60,20,6.71,RU,1600898803
431,Tahoua,14.89,5.27,87.8,62,1,7.54,NE,1600898803
432,Pandan,14.05,124.17,80.74,80,100,4.92,PH,1600898803
433,São João da Barra,-21.64,-41.05,68.0,94,90,5.82,BR,1600898803
434,Gisborne,-38.65,178.0,64.99,64,96,5.99,NZ,1600898804
435,Narsaq,60.92,-46.05,39.2,41,100,4.7,GL,1600898804
436,Nome,64.5,-165.41,43.0,52,1,6.93,US,1600898643
437,Thunder Bay,48.4,-89.32,69.8,56,75,9.17,CA,1600898788
438,Kenora,49.82,-94.43,57.2,67,90,8.05,CA,1600898804
439,Mount Gambier,-37.83,140.77,42.8,93,40,11.41,AU,1600898804
440,Arman',59.7,150.17,43.29,64,51,9.4,RU,1600898805
441,Port Hawkesbury,45.62,-61.35,54.0,87,90,20.8,CA,1600898805
442,Lebu,-37.62,-73.65,51.57,76,0,16.24,CL,1600898805
443,Aksu,41.12,80.26,62.19,32,0,4.25,CN,1600898805
444,Mālūr,13.01,77.94,66.2,100,40,4.7,IN,1600898805
445,Santa Cruz de la Sierra,-17.8,-63.17,89.6,40,0,14.99,BO,1600898806
446,The Valley,18.22,-63.06,87.8,74,20,6.93,AI,1600898777
447,Keighley,53.87,-1.91,46.99,100,75,9.17,GB,1600898771
448,Junction City,39.03,-96.83,75.2,60,90,9.17,US,1600898749
449,Poso,-1.4,120.75,75.85,80,100,2.19,ID,1600898806
450,Ugoofaaru,5.67,73.0,81.77,79,96,14.03,MV,1600898806
451,Copiapó,-27.37,-70.33,57.2,76,90,12.75,CL,1600898743
452,Mbigou,-1.9,11.91,69.4,94,100,5.93,GA,1600898806
453,Kenai,60.55,-151.26,57.99,62,75,13.87,US,1600898807
454,Port Hardy,50.7,-127.42,57.2,93,75,9.17,CA,1600898807
455,Kokopo,-4.35,152.26,81.14,77,16,2.73,PG,1600898807
456,Meulaboh,4.14,96.13,76.24,87,100,7.43,ID,1600898807
457,Kruisfontein,-34.0,24.73,52.88,84,0,4.27,ZA,1600898807
458,Ilhéus,-14.79,-39.05,71.94,87,7,6.35,BR,1600898807
459,Charters Towers,-20.1,146.27,71.49,76,65,6.22,AU,1600898808
460,Yong Peng,2.01,103.07,72.63,94,95,3.69,MY,1600898808
461,Sidhi,24.42,81.88,76.59,89,100,8.99,IN,1600898808
462,Geraldton,-28.77,114.6,66.2,24,98,10.29,AU,1600898808
463,Delvinë,39.95,20.1,69.8,94,40,3.94,AL,1600898808
464,Fortuna,40.6,-124.16,82.0,39,1,9.17,US,1600898809
465,Front Royal,38.92,-78.19,78.01,49,1,4.7,US,1600898809
466,Swan Hill,-35.34,143.55,44.6,89,2,8.28,AU,1600898809
467,Recodo,6.95,121.96,77.0,94,75,2.24,PH,1600898809
468,Bāfq,31.61,55.41,62.67,30,0,3.11,IR,1600898809
469,Imeni Morozova,59.98,31.04,60.01,92,24,7.54,RU,1600898810
470,Baghmara,23.8,86.21,79.14,89,100,6.17,IN,1600898810
471,Santa Isabel Rio Negro,-0.41,-65.02,80.35,81,98,1.39,BR,1600898810
472,Makkah al Mukarramah,21.43,39.83,85.53,28,48,6.13,SA,1600898768
473,Mackay,-21.15,149.2,71.6,88,75,1.03,AU,1600898810
474,Karratha,-20.74,116.85,73.38,31,59,10.18,AU,1600898771
475,Brownsville,25.9,-97.5,93.2,49,40,11.41,US,1600898811
476,Ushumun,52.78,126.53,49.77,97,100,7.65,RU,1600898811
477,Viedma,-40.81,-63.0,56.12,39,0,15.7,AR,1600898811
478,Sittwe,20.15,92.9,81.09,85,100,7.63,MM,1600898811
479,Vanimo,-2.67,141.3,77.54,88,97,2.66,PG,1600898811
480,San Ramon,37.78,-121.98,87.8,27,1,12.75,US,1600898717
481,Bambous Virieux,-20.34,57.76,68.0,77,40,3.36,MU,1600898772
482,San Antonio,29.42,-98.49,82.99,58,20,9.17,US,1600898705
483,Elk Point,42.68,-96.68,84.0,48,1,17.22,US,1600898812
484,Conceição do Araguaia,-8.26,-49.26,80.83,67,88,4.68,BR,1600898812
485,Phan Thiet,10.93,108.1,76.39,85,56,5.17,VN,1600898812
486,Soyo,-6.13,12.37,74.61,85,97,8.7,AO,1600898812
487,Stepnyak,52.83,70.78,41.7,80,74,24.99,KZ,1600898813
488,Tezu,27.92,96.17,73.26,87,100,4.54,IN,1600898813
489,Balabac,7.99,117.06,82.58,77,100,14.25,PH,1600898813
490,Kampong Chhnang,12.17,104.55,77.05,86,25,2.53,KH,1600898813
491,San Miguel de Cozumel,20.51,-86.95,87.8,70,75,3.36,MX,1600898813
492,Barela,23.1,80.05,74.53,95,100,5.17,IN,1600898814
493,Río Cuarto,-33.13,-64.35,82.4,14,20,18.34,AR,1600898814
494,Pingliang,35.54,106.69,51.91,80,0,2.71,CN,1600898814
495,Seoul,37.57,126.98,64.4,63,90,6.2,KR,1600898719
496,Montepuez,-13.13,39.0,69.03,73,8,8.16,MZ,1600898814
497,Nizhniy Kuranakh,58.84,125.49,35.67,85,0,2.3,RU,1600898814
498,Mirny,62.54,113.96,37.4,69,22,4.47,RU,1600898815
499,Hazleton,40.96,-75.97,77.0,33,1,3.36,US,1600898815
500,Nioki,-2.72,17.68,74.88,90,100,3.4,CD,1600898815
501,Pandan Niog,6.23,120.56,83.7,70,100,3.0,PH,1600898815
502,Tapes,-30.67,-51.4,63.0,75,65,7.27,BR,1600898815
503,San Alberto,7.76,-73.39,82.99,77,100,1.79,CO,1600898816
504,Teresina,-5.09,-42.8,98.6,27,20,3.36,BR,1600898816
505,Parabel',58.7,81.48,39.43,94,100,10.56,RU,1600898816
506,Havøysund,71.0,24.66,50.0,81,75,26.4,NO,1600898816
507,Mabay,6.06,124.47,79.07,76,100,4.14,PH,1600898816
508,Tiarei,-17.53,-149.33,86.0,66,20,19.46,PF,1600898816
509,Kreminna,49.05,38.22,58.66,35,0,4.54,UA,1600898817
510,Saint-André-les-Vergers,48.29,4.05,64.4,82,54,10.29,FR,1600898817
511,Vitorino Freire,-4.07,-45.17,86.16,47,41,3.31,BR,1600898817
512,Spas,48.89,24.06,59.22,65,18,4.38,UA,1600898817
513,Launceston,-41.45,147.17,41.0,93,61,4.7,AU,1600898552
514,Eydhafushi,5.1,73.07,81.45,78,94,13.87,MV,1600898817
515,Ardakān,32.31,54.02,71.6,26,0,6.93,IR,1600898818
516,Bathsheba,13.22,-59.52,86.0,70,20,6.93,BB,1600898818
517,La Ronge,55.1,-105.28,62.6,48,20,9.17,CA,1600898809
518,Stawell,-37.05,142.77,38.71,95,33,7.25,AU,1600898818
519,Nara,34.69,135.8,73.4,78,75,3.36,JP,1600898818
520,Paamiut,61.99,-49.67,38.12,73,96,8.61,GL,1600898699
521,Kamaishi,39.27,141.88,63.34,79,100,15.17,JP,1600898819
522,Boguchany,58.38,97.45,48.15,87,100,3.76,RU,1600898819
523,Ambon City,-3.7,128.18,75.2,94,40,3.36,ID,1600898819
524,Iqaluit,63.75,-68.51,35.01,83,90,21.92,CA,1600898734
525,San Jose,37.34,-121.89,84.0,39,20,11.41,US,1600898705
526,Acapulco de Juárez,16.86,-99.89,87.8,74,75,8.05,MX,1600898819
527,Takaka,-40.85,172.8,59.0,93,1,10.0,NZ,1600898819
